Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
0	0.0869293	0.895591	0	0.751608	0.565507	0	0.999345	0.973141	0	
0.01	0.0891102	0.899499	0	0.75977	0.571079	0	1.00326	0.979289	0	
0.02	0.0915725	0.903335	0	0.767997	0.577108	0	1.00682	0.985051	0	
0.03	0.0943142	0.907103	0	0.776291	0.583595	0	1.01004	0.990423	0	
0.04	0.0973335	0.910805	0	0.78465	0.590546	0	1.01291	0.995398	0	
0.05	0.100629	0.914442	0	0.793077	0.597966	0	1.01544	0.999968	0	
0.06	0.1042	0.918016	0	0.801574	0.605863	0	1.01763	1.00412	0	
0.07	0.108046	0.92153	0	0.810144	0.614246	0	1.01946	1.00785	0	
0.08	0.112167	0.924985	0	0.818789	0.623127	0	1.02095	1.01115	0	
0.09	0.116562	0.928383	0	0.827515	0.63252	0	1.02208	1.01398	0	
0.1	0.121233	0.931726	0	0.836326	0.642444	0	1.02285	1.01634	0	
0.11	0.126179	0.935015	0	0.84523	0.652918	0	1.02326	1.01821	0	
0.12	0.131403	0.938252	0	0.854233	0.663967	0	1.02328	1.01955	0	
0.13	0.136906	0.94144	0	0.863345	0.675622	0	1.02292	1.02033	0	
0.14	0.142689	0.94458	0	0.872578	0.687919	0	1.02216	1.02052	0	
0.15	0.148755	0.947674	0	0.881946	0.700903	0	1.02098	1.02007	0	
0.16	0.155106	0.950723	0	0.891464	0.714628	0	1.01936	1.01892	0	
0.17	0.161746	0.95373	0	0.901153	0.729162	0	1.01729	1.01701	0	
0.18	0.168678	0.956696	0	0.911039	0.744593	0	1.01472	1.01424	0	
0.19	0.175905	0.959623	0	0.921152	0.761036	0	1.01163	1.0105	0	
0.2	0.183433	0.962514	0	0.931535	0.778643	0	1.00798	1.00563	0	
0.21	0.191265	0.96537	0	0.942239	0.797629	0	1.00369	0.999412	0	
0.22	0.199408	0.968194	0	0.953336	0.818307	0	0.998707	0.991538	0	
0.23	0.207866	0.970987	0	0.964923	0.841171	0	0.992914	0.981507	0	
0.24	0.216647	0.973752	0	0.977134	0.867086	0	0.986176	0.968455	0	
0.25	0.225757	0.97649	0	0.990133	0.897818	0	0.978319	0.950612	0	
0.26	0.235204	0.979203	0	1.00382	0.93819	0	0.969437	0.923154	0	
0.27	0.244995	0.981893	0	1.00988	1.01192	0	0.967839	0.86236	0	
0.28	0.255139	0.98456	0	0.95072	1.05722	0	1.03111	0.830025	0	
0.29	0.265637	0.987204	0	0.890266	1.09851	0	1.09532	0.80171	0	
0.3	0.276496	0.989837	0	0.830183	1.13817	0	1.1588	0.77505	0	
0.31	0.287733	0.992484	0	0.770292	1.17715	0	1.2217	0.749051	0	
0.32	0.299383	0.995181	0	0.710387	1.21574	0	1.28421	0.723391	0	
0.33	0.311486	0.997985	0	0.65032	1.25402	0	1.34643	0.697935	0	
0.34	0.324087	1.00098	0	0.58998	1.29197	0	1.40842	0.672619	0	
